id,FormName,CIK,ValueDate,FilingDate,FormURL,ReportQuarter
233,ups-20230930,1090727,2023-09-30,2023-11-01,https://www.sec.gov/Archives/edgar/data/0001090727/000109072723000054/ups-20230930.htm,2023-07-01
234,ups-20230630,1090727,2023-06-30,2023-08-08,https://www.sec.gov/Archives/edgar/data/0001090727/000109072723000038/ups-20230630.htm,2023-04-01
235,ups-20230331,1090727,2023-03-31,2023-05-03,https://www.sec.gov/Archives/edgar/data/0001090727/000109072723000025/ups-20230331.htm,2023-01-01
236,ups-20221231,1090727,2022-12-31,2023-02-21,https://www.sec.gov/Archives/edgar/data/0001090727/000109072723000006/ups-20221231.htm,2022-10-01
237,ups-20220930,1090727,2022-09-30,2022-11-02,https://www.sec.gov/Archives/edgar/data/0001090727/000109072722000047/ups-20220930.htm,2022-07-01
238,ups-20220630,1090727,2022-06-30,2022-08-03,https://www.sec.gov/Archives/edgar/data/0001090727/000109072722000034/ups-20220630.htm,2022-04-01
239,ups-20220331,1090727,2022-03-31,2022-05-04,https://www.sec.gov/Archives/edgar/data/0001090727/000109072722000022/ups-20220331.htm,2022-01-01
240,ups-20211231,1090727,2021-12-31,2022-02-22,https://www.sec.gov/Archives/edgar/data/0001090727/000109072722000007/ups-20211231.htm,2021-10-01
241,ups-20210930,1090727,2021-09-30,2021-11-04,https://www.sec.gov/Archives/edgar/data/0001090727/000109072721000042/ups-20210930.htm,2021-07-01
242,ups-20210630,1090727,2021-06-30,2021-08-06,https://www.sec.gov/Archives/edgar/data/0001090727/000109072721000036/ups-20210630.htm,2021-04-01
243,ups-20210331,1090727,2021-03-31,2021-05-05,https://www.sec.gov/Archives/edgar/data/0001090727/000109072721000019/ups-20210331.htm,2021-01-01
244,ups-20201231,1090727,2020-12-31,2021-02-22,https://www.sec.gov/Archives/edgar/data/0001090727/000109072721000013/ups-20201231.htm,2020-10-01
245,ups-20200930,1090727,2020-09-30,2020-11-02,https://www.sec.gov/Archives/edgar/data/0001090727/000109072720000047/ups-20200930.htm,2020-07-01
246,ups-20200630,1090727,2020-06-30,2020-08-04,https://www.sec.gov/Archives/edgar/data/0001090727/000109072720000037/ups-20200630.htm,2020-04-01
247,ups-20200331,1090727,2020-03-31,2020-05-08,https://www.sec.gov/Archives/edgar/data/0001090727/000109072720000023/ups-20200331.htm,2020-01-01
248,ups-12312019x10k,1090727,2019-12-31,2020-02-20,https://www.sec.gov/Archives/edgar/data/0001090727/000109072720000005/ups-12312019x10k.htm,2019-10-01
249,ups-09302019x10q,1090727,2019-09-30,2019-10-29,https://www.sec.gov/Archives/edgar/data/0001090727/000109072719000060/ups-09302019x10q.htm,2019-07-01
250,ups-06302019x10q,1090727,2019-06-30,2019-07-30,https://www.sec.gov/Archives/edgar/data/0001090727/000109072719000045/ups-06302019x10q.htm,2019-04-01
251,ups-03312019x10q,1090727,2019-03-31,2019-04-30,https://www.sec.gov/Archives/edgar/data/0001090727/000109072719000011/ups-03312019x10q.htm,2019-01-01
252,ups-12312018x10k,1090727,2018-12-31,2019-02-21,https://www.sec.gov/Archives/edgar/data/0001090727/000109072719000006/ups-12312018x10k.htm,2018-10-01
